District,Hillary Rodham CLINTON,Donald J. TRUMP,Gary JOHNSON,Jill STEIN,Alyson KENNEDY,Darrell CASTLE,Monica MOOREHEAD,Rocky Roque De La FUENTE,Gloria La RIVA
"Sayreville, District 5",195,234,8,7,1,0,0,0,1
"Sayreville, District 6",86,167,4,1,0,2,0,0,0
"Sayreville, District 7",162,193,8,3,0,1,0,0,0
"Sayreville, District 8",110,196,3,5,1,2,0,1,0
"Sayreville, District 9",116,176,6,0,1,0,0,0,0
"Sayreville, District 10",319,219,8,4,0,1,0,0,1
"Sayreville, District 11",237,309,14,10,1,2,1,0,0
"Sayreville, District 12",336,315,12,12,0,0,0,1,1
"Sayreville, District 13",168,269,10,9,0,0,1,0,1
"Sayreville, District 14",163,196,8,4,0,0,1,1,0
"Sayreville, District 15",177,242,4,8,1,0,0,0,0
"Sayreville, District 16",177,247,6,7,3,0,0,1,0
"Sayreville, District 17",97,144,8,3,0,1,1,0,0
"Sayreville, District 18",181,281,8,2,3,1,0,0,0
"Sayreville, District 19",110,152,1,1,0,1,0,2,0
"Sayreville, District 20",245,122,4,6,1,0,0,0,0
"Sayreville, District 21",195,195,10,1,2,0,0,0,0
"Sayreville, District 22",136,206,12,2,1,0,0,0,0
"Sayreville, District 23",128,180,3,4,0,0,0,0,0
"Sayreville, District 24",169,300,6,2,1,0,0,0,0
"Sayreville, District 25",155,267,8,4,0,0,0,0,0
"Sayreville, District 26",235,253,8,5,1,0,0,0,1
"Sayreville, District 27",330,255,8,19,1,2,0,0,1
"Sayreville, District 28",304,195,6,3,0,1,1,3,0
"Sayreville, District 29",121,154,6,2,0,1,0,0,0
"Sayreville, District 30",424,296,12,12,0,0,1,1,0
"Sayreville, District 31",428,211,10,4,0,1,0,0,0
"Sayreville, District 32",252,261,8,3,0,2,0,0,0
"Sayreville, District 33",588,113,6,2,0,1,0,1,0
"Sayreville, District 34",296,179,6,9,0,0,0,1,0
"Sayreville, District 35",234,186,5,7,0,1,0,0,1
"South Amboy, Ward 1, District 1",161,205,5,2,1,0,0,0,0
"South Amboy, Ward 1, District 2",153,192,7,2,0,0,0,1,0
"South Amboy, Ward 1, District 3",175,240,7,5,1,0,1,0,0
"South Amboy, Ward 2, District 1",176,188,12,4,0,0,0,0,0
"South Amboy, Ward 2, District 2",122,138,5,5,1,0,2,0,0
"South Amboy, Ward 2, District 3",169,169,4,5,1,0,0,0,0
"South Amboy, Ward 3, District 1",171,192,13,4,0,1,2,0,0
"South Amboy, Ward 3, District 2",253,326,6,6,0,0,0,0,0
"South Amboy, Ward 3, District 3",151,246,18,3,2,0,0,0,0
"South Brunswick, District 1",2501,1096,73,22,3,2,1,0,0
"South Brunswick, District 2",353,209,11,3,0,0,0,0,0
"South Brunswick, District 3",339,157,21,13,0,0,0,0,0
"South Brunswick, District 4",254,323,8,4,0,0,0,0,0
"South Brunswick, District 5",316,218,10,10,0,0,0,0,0
"South Brunswick, District 6",227,219,8,3,0,2,2,0,0
"South Brunswick, District 7",292,140,7,7,0,0,0,0,0
"South Brunswick, District 8",286,212,13,7,1,0,0,0,0
"South Brunswick, District 9",255,180,12,5,1,3,0,0,0
"South Brunswick, District 10",200,163,8,2,1,0,0,1,0
"South Brunswick, District 11",266,197,9,10,0,0,1,0,0
"South Brunswick, District 12",199,154,9,4,1,0,1,0,0
"South Brunswick, District 13",385,149,10,8,2,0,1,1,1
"South Brunswick, District 14",336,128,11,6,0,1,0,0,0
"South Brunswick, District 15",504,230,15,12,1,1,0,0,1
"South Brunswick, District 16",584,213,15,6,1,0,0,0,0
"South Brunswick, District 17",399,123,6,13,1,3,1,0,0
"South Brunswick, District 18",415,145,6,3,0,0,0,1,1
"South Brunswick, District 19",342,109,6,3,1,2,0,0,1
"South Brunswick, District 20",275,123,7,5,0,2,0,0,0
"South Brunswick, District 21",319,196,11,6,1,0,0,0,0
"South Brunswick, District 22",424,191,9,4,0,0,0,1,0
"South Brunswick, District 23",394,120,5,4,2,0,1,0,0
"South Brunswick, District 24",257,174,18,7,0,2,1,1,0
"South Brunswick, District 25",388,127,13,2,1,1,0,0,0
"South Brunswick, District 26",545,258,11,5,0,0,1,0,0
"South Brunswick, District 27",444,169,13,6,2,2,0,0,0
"South Brunswick, District 28",533,204,7,9,1,0,0,0,0
"South Brunswick, District 29",432,141,11,2,0,1,0,0,0
"South Brunswick, District 30",363,129,9,6,2,0,0,1,0
"South Plainfield, District 1",922,602,44,15,1,2,1,1,2
"South Plainfield, District 2",274,318,14,12,3,2,0,0,0
"South Plainfield, District 3",272,255,7,7,0,3,1,0,0
"South Plainfield, District 4",431,450,12,10,0,1,0,0,0
"South Plainfield, District 5",186,247,11,3,2,0,0,0,0
"South Plainfield, District 6",278,292,11,9,1,0,0,0,0
"South Plainfield, District 7",392,296,6,4,1,2,0,0,0
"South Plainfield, District 8",312,287,16,2,1,0,1,0,2
"South Plainfield, District 9",247,312,16,5,1,0,0,0,0
"South Plainfield, District 10",558,333,9,10,1,0,1,0,0
"South Plainfield, District 11",227,256,12,7,0,0,0,0,0
"South Plainfield, District 12",209,285,12,5,2,0,0,1,0
"South Plainfield, District 13",406,309,16,5,2,1,0,0,0
"South Plainfield, District 14",278,352,15,8,0,0,0,0,0
"South Plainfield, District 15",464,194,12,13,1,0,0,0,0
"South River, District 1",493,379,10,9,0,3,1,0,0
"South River, District 2",132,144,6,4,0,1,0,0,0
"South River, District 3",121,192,9,1,0,0,0,0,0
"South River, District 4",116,169,5,2,0,2,0,0,0
"South River, District 5",144,200,2,5,1,0,0,0,0
"South River, District 6",164,185,10,7,1,1,0,0,1
"South River, District 7",151,173,5,1,0,0,0,0,0
"South River, District 8",132,188,7,3,1,1,0,0,0
"South River, District 9",164,129,1,2,1,1,0,0,0
"South River, District 10",342,268,21,8,2,1,0,0,0
"South River, District 11",201,193,6,6,0,0,0,0,0
"South River, District 12",195,161,3,0,1,0,0,1,0
"South River, District 13",153,152,8,4,0,1,1,0,0
"South River, District 14",133,175,6,6,0,2,0,0,0
"Spotswood, District 1",489,694,34,7,1,2,0,1,0
"Spotswood, District 2",155,314,18,4,0,0,0,0,1
"Spotswood, District 3",120,248,8,2,1,0,0,0,0
"Spotswood, District 4",160,235,12,3,1,0,1,0,0
"Spotswood, District 5",227,350,14,8,0,1,0,0,1
"Spotswood, District 6",153,214,7,6,2,0,0,1,0
"Spotswood, District 7",132,324,14,2,0,0,0,0,1
"Woodbridge, Ward 1, District 1",2354,1615,69,42,11,8,2,4,1
"Woodbridge, Ward 1, District 2",213,269,13,3,4,1,0,0,1
"Woodbridge, Ward 1, District 3",246,167,7,4,0,0,0,0,1
"Woodbridge, Ward 1, District 4",253,269,16,5,2,0,0,1,1
"Woodbridge, Ward 1, District 5",244,211,10,6,0,2,0,0,0
"Woodbridge, Ward 1, District 6",182,144,8,3,0,0,0,0,1
"Woodbridge, Ward 1, District 7",377,299,8,9,1,3,1,0,1
"Woodbridge, Ward 1, District 8",141,78,2,2,0,1,0,1,1
"Woodbridge, Ward 1, District 9",208,193,8,6,0,4,1,0,0
"Woodbridge, Ward 1, District 10",308,244,12,4,0,0,0,2,2
"Woodbridge, Ward 1, District 11",197,203,5,4,1,1,0,0,1
"Woodbridge, Ward 1, District 12",338,110,10,2,0,0,0,0,0
"Woodbridge, Ward 1, District 13",332,325,7,6,1,0,3,0,1
"Woodbridge, Ward 1, District 14",255,145,4,7,2,1,0,0,0
"Woodbridge, Ward 1, District 15",194,242,6,6,2,0,0,0,0
"Woodbridge, Ward 2, District 1",201,58,2,4,0,0,0,0,1
"Woodbridge, Ward 2, District 2",207,193,1,5,2,0,0,0,0
"Woodbridge, Ward 2, District 3",259,200,2,7,0,1,0,0,0
"Woodbridge, Ward 2, District 4",195,246,11,6,0,0,1,0,0
"Woodbridge, Ward 2, District 5",189,167,7,6,0,0,0,0,0
"Woodbridge, Ward 2, District 6",194,161,9,2,1,0,0,0,0
"Woodbridge, Ward 2, District 7",267,145,11,7,1,1,0,0,1
"Woodbridge, Ward 2, District 8",333,235,12,4,4,1,1,1,0
"Woodbridge, Ward 2, District 9",211,221,6,6,0,0,0,0,0
"Woodbridge, Ward 2, District 10",210,158,5,9,1,0,0,0,0
"Woodbridge, Ward 2, District 11",225,176,10,5,1,1,0,0,0
"Woodbridge, Ward 2, District 12",243,217,10,9,2,1,0,1,0
"Woodbridge, Ward 2, District 13",383,173,9,7,1,0,0,1,1
"Woodbridge, Ward 2, District 14",411,76,3,2,2,0,0,1,0
"Woodbridge, Ward 2, District 15",262,91,4,2,0,0,0,1,1
"Woodbridge, Ward 3, District 1",130,178,2,7,1,0,0,0,0
"Woodbridge, Ward 3, District 2",301,289,12,7,2,0,0,0,0
"Woodbridge, Ward 3, District 3",166,228,5,2,0,0,0,0,0
"Woodbridge, Ward 3, District 4",142,174,4,4,0,0,0,0,0
"Woodbridge, Ward 3, District 5",203,183,6,4,0,0,0,0,0
"Woodbridge, Ward 3, District 6",255,156,7,2,0,0,0,0,0
"Woodbridge, Ward 3, District 7",217,206,5,5,1,0,0,0,0
"Woodbridge, Ward 3, District 8",206,133,6,10,0,0,0,1,0
"Woodbridge, Ward 3, District 9",234,181,2,10,1,3,2,0,0
"Woodbridge, Ward 3, District 10",441,211,13,9,0,0,0,0,0
"Woodbridge, Ward 3, District 11",347,50,2,6,0,0,0,0,0
"Woodbridge, Ward 3, District 12",378,81,2,4,1,1,0,0,0
"Woodbridge, Ward 3, District 13",316,226,8,7,1,0,0,0,0
"Woodbridge, Ward 4, District 1",1087,475,12,11,1,1,0,0,0
"Woodbridge, Ward 4, District 2",289,207,9,7,0,1,1,0,0
"Woodbridge, Ward 4, District 3",224,123,2,3,1,0,0,0,0
"Woodbridge, Ward 4, District 4",167,129,4,4,0,0,0,0,0
"Woodbridge, Ward 4, District 5",259,129,5,6,0,1,1,0,1
"Woodbridge, Ward 4, District 6",182,144,2,2,0,0,0,0,0
"Woodbridge, Ward 4, District 7",366,212,11,7,3,1,0,1,0
"Woodbridge, Ward 4, District 8",315,168,4,4,0,0,1,0,0
"Woodbridge, Ward 4, District 9",372,233,4,5,1,0,0,0,0
"Woodbridge, Ward 4, District 10",396,195,15,3,1,0,0,0,0
"Woodbridge, Ward 4, District 11",294,127,5,4,1,2,0,0,0
"Woodbridge, Ward 4, District 12",225,104,1,0,2,0,0,0,1
"Woodbridge, Ward 4, District 13",194,141,5,4,0,0,0,0,0
"Woodbridge, Ward 4, District 14",239,170,1,5,1,0,0,0,0
"Woodbridge, Ward 5, District 1",136,277,8,4,1,2,0,0,0
"Woodbridge, Ward 5, District 2",196,128,7,1,1,0,0,0,0
"Woodbridge, Ward 5, District 3",154,178,12,3,2,0,0,1,0
"Woodbridge, Ward 5, District 4",166,211,6,3,0,1,1,0,0
"Woodbridge, Ward 5, District 5",271,272,11,3,1,0,0,1,0
"Woodbridge, Ward 5, District 6",273,254,8,14,0,0,0,4,0
"Woodbridge, Ward 5, District 7",267,296,12,2,0,0,0,2,1
"Woodbridge, Ward 5, District 8",225,260,17,3,1,1,0,0,0
"Woodbridge, Ward 5, District 9",357,205,9,8,2,3,0,0,0
"Woodbridge, Ward 5, District 10",281,293,8,4,1,0,0,0,0
"Woodbridge, Ward 5, District 11",215,245,9,5,0,1,0,1,0
"Woodbridge, Ward 5, District 12",250,286,14,10,1,0,1,0,0
"Woodbridge, Ward 5, District 13",215,227,11,1,0,0,0,0,0
"Woodbridge, Ward 5, District 14",204,200,7,5,1,0,0,2,1
"Woodbridge, Ward 5, District 15",175,161,1,1,0,0,0,0,0
"Woodbridge, Ward 5, District 16",274,279,3,11,0,0,0,1,0
"Woodbridge, Ward 5, District 17",181,224,7,11,1,0,0,0,0
"Woodbridge, Ward 5, District 18",116,175,4,1,0,0,0,0,0
Total,193044,122953,5446,3452,436,368,167,146,90
